State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude
Uttarakhand,Roorkee,2018,December,Friday,3:6,Minor,1,Two-Wheeler,1,0,Rainy,Village Road,Damaged,Dark,Signals,84,26,Male,Valid,Yes,Bridge,29.839455,77.866474
Jharkhand,Jamshedpur,2021,September,Wednesday,0:41,Fatal,2,Bus,7,3,Rainy,National Highway,Damaged,Dawn,Signs,49,34,Male,Valid,Yes,Curve,22.781687,86.193778
Mizoram,Lunglei,2023,November,Sunday,4:25,Serious,2,Truck,2,3,Stormy,State Highway,Dry,Dawn,,106,36,Male,Expired,No,Straight Road,22.907553,92.717086
Manipur,Bishnupur,2021,March,Sunday,17:45,Minor,2,Pedestrian,9,3,Stormy,Urban Road,Damaged,Daylight,Signals,62,28,Male,,Yes,Bridge,24.629846,93.800132
Meghalaya,Tura,2018,June,Wednesday,6:22,Fatal,3,Cycle,10,2,Clear,National Highway,Damaged,Dark,,62,55,Male,,Yes,Intersection,25.511862,90.206212
Tamil Nadu,Coimbatore,2023,January,Saturday,22:7,Serious,3,Auto-Rickshaw,9,3,Clear,Village Road,Damaged,Dawn,Signs,119,63,Female,,No,Straight Road,11.034347,76.95095
Punjab,Jalandhar,2022,January,Saturday,22:41,Fatal,4,Pedestrian,10,3,Rainy,National Highway,Under Construction,Dark,Signs,114,22,Male,,No,Intersection,31.318056,75.56207
Himachal Pradesh,Dharamshala,2019,December,Wednesday,9:38,Minor,5,Auto-Rickshaw,6,3,Hazy,Urban Road,Wet,Daylight,Police Checkpost,59,69,Male,Expired,Yes,Intersection,32.238576,76.330542
Jharkhand,Ranchi,2020,August,Thursday,3:11,Fatal,3,Car,10,2,Foggy,Village Road,Dry,Dusk,Signals,120,18,Female,,Yes,Straight Road,23.364721,85.311911
Gujarat,Ahmedabad,2020,October,Monday,21:45,Serious,1,Bus,2,0,Foggy,State Highway,Dry,Daylight,,94,41,Female,Valid,No,Curve,23.042267,72.571225
Arunachal Pradesh,Pasighat,2023,April,Saturday,22:30,Serious,4,Pedestrian,5,4,Hazy,Village Road,Under Construction,Daylight,Signs,46,39,Male,,Yes,Intersection,28.06855,95.30474
Kerala,Thiruvananthapuram,2023,April,Monday,2:2,Serious,1,Truck,4,3,Hazy,National Highway,Dry,Dusk,Signs,60,35,Male,Expired,Yes,Straight Road,8.546387,76.948897
Tamil Nadu,Madurai,2023,April,Tuesday,8:52,Minor,4,Auto-Rickshaw,9,2,Rainy,Urban Road,Wet,Dawn,Police Checkpost,77,51,Male,Valid,Yes,Straight Road,9.908058,78.11177
Jharkhand,Jamshedpur,2022,June,Wednesday,2:8,Fatal,5,Truck,9,5,Stormy,Urban Road,Dry,Daylight,,116,42,Male,Expired,Yes,Curve,22.827727,86.224642
Meghalaya,Jowai,2022,November,Thursday,14:39,Serious,1,Pedestrian,8,4,Rainy,National Highway,Wet,Dawn,Signs,66,24,Female,Expired,Yes,Straight Road,25.427967,92.170547
Assam,Silchar,2020,January,Thursday,18:36,Minor,2,Bus,6,4,Foggy,National Highway,Under Construction,Dawn,Signs,62,33,Male,Expired,No,Intersection,24.81598,92.781311
Maharashtra,Mumbai,2020,February,Monday,3:26,Minor,5,Two-Wheeler,0,5,Stormy,Village Road,Wet,Dark,Signals,43,69,Male,,No,Intersection,19.074213,72.899955
Karnataka,Mangalore,2023,December,Wednesday,2:16,Minor,1,Truck,0,4,Rainy,Urban Road,Damaged,Dawn,Signs,60,68,Female,Expired,Yes,Straight Road,12.985365,77.601291
Uttar Pradesh,Lucknow,2020,May,Tuesday,19:55,Minor,3,Pedestrian,8,2,Hazy,National Highway,Dry,Dawn,Signs,93,19,Female,Expired,Yes,Bridge,26.850562,80.945916
Haryana,Faridabad,2018,April,Saturday,15:19,Fatal,1,Auto-Rickshaw,2,4,Hazy,State Highway,Damaged,Dusk,Police Checkpost,79,55,Female,Expired,Yes,Straight Road,28.429615,77.310876
Telangana,Karimnagar,2018,January,Saturday,9:12,Fatal,5,Cycle,6,3,Rainy,National Highway,Dry,Dusk,Signs,43,64,Male,Valid,No,Straight Road,18.429097,79.137935
Telangana,Warangal,2022,June,Friday,2:12,Serious,2,Cycle,9,4,Foggy,National Highway,Dry,Dawn,Signals,103,48,Male,Valid,Yes,Intersection,17.975842,79.601152
Sikkim,Mangan,2020,May,Wednesday,9:22,Minor,4,Two-Wheeler,1,3,Rainy,State Highway,Wet,Dark,,77,22,Male,Valid,Yes,Bridge,27.517681,88.511016
West Bengal,Kolkata,2021,April,Thursday,4:56,Minor,3,Bus,7,1,Rainy,Village Road,Wet,Dark,Police Checkpost,45,24,Female,Valid,No,Bridge,22.564225,88.34752
Assam,Jorhat,2023,September,Saturday,4:13,Minor,4,Car,4,2,Foggy,Urban Road,Dry,Dark,Signals,44,46,Male,,Yes,Straight Road,26.734113,94.207459
Nagaland,Dimapur,2020,November,Saturday,0:37,Minor,1,Pedestrian,5,4,Foggy,Urban Road,Under Construction,Dawn,Signals,106,61,Female,Valid,Yes,Bridge,25.903775,93.722873
Himachal Pradesh,Solan,2018,February,Saturday,9:57,Serious,3,Auto-Rickshaw,8,0,Foggy,Urban Road,Under Construction,Dawn,Signs,51,34,Female,,Yes,Straight Road,30.884628,77.085522
Tamil Nadu,Madurai,2022,August,Saturday,11:28,Serious,1,Two-Wheeler,8,1,Hazy,State Highway,Wet,Daylight,Signs,119,68,Female,,No,Straight Road,9.905639,78.139283
Nagaland,Dimapur,2019,August,Sunday,22:38,Fatal,2,Two-Wheeler,2,2,Hazy,Urban Road,Under Construction,Dark,,32,63,Female,Expired,Yes,Curve,25.915324,93.75207
Goa,Vasco da Gama,2018,June,Friday,3:36,Fatal,2,Cycle,9,1,Rainy,State Highway,Wet,Dark,Signals,98,50,Female,,No,Bridge,15.392045,73.837542
Rajasthan,Jodhpur,2022,August,Wednesday,0:42,Serious,4,Truck,6,4,Stormy,Village Road,Damaged,Dusk,Police Checkpost,115,48,Female,Expired,No,Curve,26.248261,73.039351
Gujarat,Surat,2022,November,Sunday,10:37,Serious,5,Bus,6,0,Stormy,State Highway,Wet,Dusk,Police Checkpost,54,43,Female,Expired,No,Straight Road,21.154576,72.835436
Odisha,Cuttack,2018,May,Wednesday,6:42,Minor,2,Truck,9,4,Stormy,National Highway,Dry,Dawn,Police Checkpost,75,56,Male,,No,Intersection,20.484961,85.877374
Arunachal Pradesh,Itanagar,2020,December,Monday,15:14,Serious,3,Car,0,4,Hazy,Urban Road,Dry,Dark,,98,42,Male,Valid,Yes,Intersection,27.107059,93.611551
Himachal Pradesh,Dharamshala,2019,May,Sunday,11:10,Fatal,3,Two-Wheeler,2,0,Stormy,Urban Road,Wet,Dark,,118,64,Female,Expired,Yes,Straight Road,32.224745,76.306474
Jammu and Kashmir,Srinagar,2023,January,Sunday,1:18,Minor,1,Two-Wheeler,8,2,Stormy,State Highway,Damaged,Dark,,32,30,Male,Valid,Yes,Straight Road,34.099118,74.794688
Madhya Pradesh,Bhopal,2022,May,Sunday,10:42,Serious,3,Car,8,2,Hazy,National Highway,Dry,Daylight,,69,54,Female,Expired,Yes,Curve,23.270508,77.42019
Odisha,Rourkela,2018,February,Thursday,11:2,Minor,1,Car,0,2,Rainy,State Highway,Dry,Daylight,,105,33,Male,Valid,Yes,Bridge,22.275266,84.832758
Tamil Nadu,Madurai,2022,May,Sunday,0:39,Minor,3,Two-Wheeler,1,4,Foggy,Village Road,Dry,Dark,Signals,46,63,Female,,No,Bridge,9.934654,78.100173
Goa,Vasco da Gama,2023,June,Friday,7:24,Serious,2,Truck,2,5,Stormy,National Highway,Wet,Dark,Signs,111,43,Female,Valid,Yes,Straight Road,15.393081,73.821863
Delhi,Dwarka,2020,February,Thursday,13:39,Serious,5,Truck,0,0,Foggy,Village Road,Under Construction,Daylight,,60,44,Male,,Yes,Intersection,28.595816,77.028511
Goa,Vasco da Gama,2019,June,Tuesday,16:44,Fatal,4,Two-Wheeler,0,1,Clear,Village Road,Damaged,Dusk,Signals,47,45,Male,Expired,No,Curve,15.416734,73.793471
Mizoram,Aizawl,2023,February,Wednesday,1:6,Minor,4,Auto-Rickshaw,5,5,Foggy,State Highway,Dry,Dark,Signals,65,57,Male,,Yes,Straight Road,23.71827,92.736886
Haryana,Faridabad,2020,October,Sunday,0:43,Minor,5,Pedestrian,7,5,Rainy,State Highway,Dry,Daylight,Signals,87,27,Male,Valid,Yes,Bridge,28.384017,77.298749
Uttar Pradesh,Kanpur,2022,September,Sunday,21:31,Fatal,3,Two-Wheeler,4,0,Hazy,State Highway,Dry,Dawn,Signs,114,52,Female,Valid,Yes,Intersection,26.453045,80.309324
Puducherry,Puducherry,2018,July,Thursday,0:52,Fatal,3,Auto-Rickshaw,8,0,Clear,Village Road,Dry,Dark,Signs,31,34,Male,Valid,No,Bridge,11.929298,79.788022
Mizoram,Champhai,2019,August,Sunday,17:49,Serious,4,Auto-Rickshaw,7,3,Rainy,State Highway,Wet,Dusk,Signs,118,38,Female,Expired,Yes,Intersection,23.454221,93.297144
Arunachal Pradesh,Itanagar,2019,November,Tuesday,5:7,Minor,1,Truck,9,5,Hazy,National Highway,Dry,Dawn,Signals,34,33,Male,,No,Curve,27.102373,93.625062
Chhattisgarh,Raipur,2021,May,Thursday,11:36,Fatal,1,Auto-Rickshaw,8,4,Clear,National Highway,Wet,Dark,,41,46,Female,Expired,No,Straight Road,21.267435,81.60937
Mizoram,Champhai,2020,September,Wednesday,10:24,Serious,4,Truck,0,0,Foggy,Village Road,Under Construction,Dark,Signs,110,66,Female,,No,Straight Road,23.479835,93.302538
Delhi,Dwarka,2021,April,Tuesday,8:34,Fatal,3,Pedestrian,10,3,Stormy,Urban Road,Wet,Dawn,Signs,100,69,Female,Valid,Yes,Straight Road,28.586811,77.052179
Sikkim,Namchi,2022,July,Thursday,4:53,Minor,4,Car,8,1,Rainy,State Highway,Wet,Daylight,,48,40,Female,Valid,Yes,Intersection,27.162515,88.365209
Gujarat,Ahmedabad,2022,March,Wednesday,11:5,Fatal,1,Car,10,5,Foggy,Village Road,Dry,Dark,Signals,30,18,Male,Valid,No,Bridge,23.015343,72.593219
Mizoram,Aizawl,2023,June,Thursday,19:53,Fatal,4,Pedestrian,8,0,Stormy,Village Road,Damaged,Dawn,Police Checkpost,78,31,Female,,Yes,Bridge,23.734821,92.720169
Uttarakhand,Haldwani,2022,February,Friday,18:39,Serious,1,Pedestrian,5,1,Hazy,Urban Road,Under Construction,Dusk,Signals,74,50,Male,Expired,No,Curve,29.215449,79.51113
Uttarakhand,Haldwani,2021,May,Monday,8:36,Serious,2,Car,9,3,Stormy,State Highway,Under Construction,Daylight,Signs,41,46,Female,Valid,Yes,Intersection,29.20143,79.496315
Mizoram,Champhai,2021,December,Friday,21:47,Minor,2,Truck,4,4,Clear,Village Road,Under Construction,Dusk,Police Checkpost,75,56,Male,Valid,Yes,Curve,23.474282,93.292045
Bihar,Gaya,2018,November,Monday,0:5,Minor,2,Auto-Rickshaw,5,0,Hazy,State Highway,Under Construction,Dark,Signs,81,20,Male,Expired,Yes,Bridge,24.78261,84.977966
Sikkim,Namchi,2021,September,Wednesday,12:58,Fatal,1,Auto-Rickshaw,9,3,Stormy,Urban Road,Wet,Dawn,Police Checkpost,89,47,Female,Valid,Yes,Curve,27.175761,88.362747
Assam,Jorhat,2018,December,Monday,8:12,Serious,1,Two-Wheeler,4,2,Stormy,Village Road,Damaged,Dawn,,46,30,Female,,Yes,Straight Road,26.764862,94.185456
Mizoram,Aizawl,2022,November,Sunday,21:1,Fatal,2,Bus,6,1,Stormy,State Highway,Under Construction,Dusk,,104,44,Female,Valid,Yes,Bridge,23.715733,92.70572
Puducherry,Puducherry,2023,November,Wednesday,0:29,Serious,3,Truck,1,1,Rainy,Urban Road,Under Construction,Dusk,Signals,92,28,Male,,Yes,Bridge,11.924949,79.825812
Arunachal Pradesh,Naharlagun,2021,July,Wednesday,22:43,Fatal,5,Cycle,3,5,Rainy,State Highway,Wet,Daylight,Signs,40,50,Female,Valid,No,Curve,27.081445,93.676181
Rajasthan,Jodhpur,2018,January,Monday,12:47,Fatal,2,Cycle,0,2,Hazy,State Highway,Under Construction,Dark,,89,61,Male,Expired,No,Bridge,26.263657,73.004739
Telangana,Karimnagar,2019,May,Thursday,13:55,Minor,1,Auto-Rickshaw,1,2,Stormy,Urban Road,Dry,Daylight,Signs,31,48,Female,Valid,Yes,Intersection,18.444398,79.141768
Andhra Pradesh,Tirupati,2019,April,Tuesday,18:7,Serious,1,Car,10,5,Hazy,Village Road,Under Construction,Dawn,Signals,37,46,Male,Expired,Yes,Intersection,13.611983,79.420731
Jharkhand,Bokaro,2019,January,Tuesday,8:49,Serious,4,Two-Wheeler,5,4,Stormy,Village Road,Wet,Dusk,Signals,63,65,Male,Valid,No,Bridge,23.667282,86.15968
Gujarat,Vadodara,2018,November,Saturday,17:9,Minor,2,Two-Wheeler,0,3,Clear,Village Road,Under Construction,Dark,Signals,88,60,Female,,No,Bridge,22.291858,73.171384
West Bengal,Durgapur,2018,October,Sunday,10:57,Fatal,2,Bus,4,4,Foggy,State Highway,Wet,Dark,Signs,114,58,Male,Valid,Yes,Straight Road,23.510766,87.290371
Andhra Pradesh,Vijayawada,2021,July,Friday,3:55,Fatal,5,Car,0,4,Stormy,Village Road,Wet,Dark,Signs,113,67,Female,Valid,Yes,Bridge,16.504696,80.660937
Sikkim,Gyalshing,2018,March,Sunday,3:33,Fatal,5,Car,4,0,Foggy,State Highway,Wet,Daylight,,83,29,Female,Expired,Yes,Straight Road,27.272997,88.242636
Meghalaya,Shillong,2020,December,Tuesday,16:35,Minor,4,Two-Wheeler,2,5,Hazy,State Highway,Wet,Dawn,Signs,57,18,Female,,No,Bridge,25.555139,91.886509
Andhra Pradesh,Tirupati,2018,May,Tuesday,2:14,Fatal,5,Cycle,5,0,Hazy,National Highway,Under Construction,Dawn,Signs,89,23,Female,,Yes,Curve,13.620392,79.407036
Andhra Pradesh,Visakhapatnam,2021,September,Tuesday,18:56,Fatal,3,Truck,8,2,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,67,59,Male,,No,Bridge,17.693774,83.229163
Telangana,Hyderabad,2022,October,Friday,15:25,Minor,3,Two-Wheeler,10,0,Clear,National Highway,Under Construction,Daylight,Police Checkpost,45,48,Female,Valid,Yes,Curve,17.401361,78.48386
Chandigarh,Chandigarh,2023,May,Monday,4:24,Serious,5,Car,0,3,Stormy,National Highway,Damaged,Dawn,Signs,67,18,Female,Valid,Yes,Straight Road,30.719644,76.775752
Karnataka,Mysore,2023,November,Wednesday,8:7,Serious,3,Truck,3,3,Hazy,Village Road,Under Construction,Daylight,Signs,37,32,Female,Expired,No,Bridge,12.972132,77.596459
Uttar Pradesh,Varanasi,2020,June,Wednesday,4:1,Fatal,3,Truck,10,3,Stormy,Urban Road,Damaged,Dusk,Signs,35,24,Female,Valid,No,Intersection,25.312072,82.977181
Mizoram,Aizawl,2018,May,Friday,14:33,Serious,2,Truck,4,4,Hazy,Urban Road,Damaged,Dusk,,105,62,Female,,No,Intersection,23.748846,92.714555
Sikkim,Gyalshing,2021,October,Thursday,18:15,Serious,2,Cycle,5,4,Stormy,National Highway,Wet,Dawn,Police Checkpost,36,67,Male,Valid,Yes,Straight Road,27.300886,88.259166
Nagaland,Mokokchung,2021,August,Tuesday,4:8,Serious,2,Truck,6,5,Hazy,Village Road,Dry,Dark,,93,31,Male,Expired,Yes,Intersection,26.344159,94.538256
Punjab,Patiala,2018,December,Sunday,12:31,Minor,2,Two-Wheeler,4,4,Hazy,State Highway,Wet,Dawn,Signs,99,60,Female,Expired,No,Bridge,30.352962,76.368543
Meghalaya,Tura,2022,April,Thursday,16:29,Minor,5,Car,7,2,Clear,State Highway,Under Construction,Dawn,Signs,61,26,Female,Expired,No,Intersection,25.519325,90.190517
Arunachal Pradesh,Itanagar,2022,October,Saturday,20:53,Serious,1,Cycle,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,75,46,Female,Valid,Yes,Curve,27.108325,93.602668
Rajasthan,Jaipur,2023,November,Saturday,9:17,Minor,4,Car,1,0,Stormy,Village Road,Under Construction,Dusk,Signs,89,23,Male,,Yes,Bridge,26.900582,75.776056
Himachal Pradesh,Solan,2019,August,Tuesday,10:55,Serious,4,Cycle,5,3,Stormy,State Highway,Dry,Dusk,Signals,65,49,Female,Expired,Yes,Intersection,30.889241,77.105137
Jharkhand,Dhanbad,2023,January,Saturday,12:32,Fatal,1,Bus,9,5,Foggy,State Highway,Under Construction,Dawn,Signals,106,38,Female,,Yes,Straight Road,23.814503,86.437715
Jammu and Kashmir,Jammu,2021,July,Friday,15:19,Fatal,5,Cycle,2,2,Rainy,Village Road,Dry,Dark,Signals,93,43,Male,Expired,Yes,Intersection,32.713122,74.84246
Puducherry,Karaikal,2023,June,Wednesday,14:23,Minor,1,Truck,1,1,Rainy,Village Road,Wet,Dusk,,75,62,Male,Valid,No,Bridge,10.907498,79.842392
Karnataka,Mysore,2019,July,Wednesday,17:40,Minor,3,Cycle,7,0,Clear,National Highway,Wet,Dusk,Signs,47,61,Female,,No,Bridge,12.993832,77.569639
Bihar,Muzaffarpur,2018,December,Friday,1:19,Serious,5,Pedestrian,10,4,Hazy,Urban Road,Dry,Dark,,79,52,Male,,No,Intersection,26.123749,85.398765
Goa,Vasco da Gama,2022,September,Monday,14:6,Fatal,1,Pedestrian,8,0,Clear,Village Road,Dry,Dusk,Signals,84,32,Female,Valid,No,Curve,15.408314,73.802352
Telangana,Hyderabad,2023,March,Sunday,14:30,Minor,2,Bus,0,0,Clear,Urban Road,Damaged,Dusk,Signs,108,45,Male,Valid,No,Bridge,17.361097,78.50838
Uttar Pradesh,Lucknow,2023,November,Wednesday,11:56,Serious,4,Truck,1,0,Clear,Urban Road,Wet,Daylight,,66,49,Male,,Yes,Straight Road,26.866874,80.949773
Chandigarh,Chandigarh,2020,August,Friday,14:56,Minor,1,Truck,7,5,Clear,Urban Road,Dry,Dark,Signals,94,31,Male,Expired,Yes,Intersection,30.743826,76.766944
Jharkhand,Bokaro,2020,February,Tuesday,22:38,Fatal,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,,No,Curve,23.672926,86.145258
Manipur,Imphal,2022,February,Thursday,8:2,Fatal,4,Car,10,3,Rainy,National Highway,Dry,Dawn,,104,67,Male,Valid,Yes,Intersection,24.817525,93.914692
Uttarakhand,Haridwar,2021,August,Tuesday,4:25,Serious,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,29.969161,78.165734
Himachal Pradesh,Solan,2023,July,Monday,21:28,Minor,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,30.905379,77.093812
Arunachal Pradesh,Itanagar,2021,December,Thursday,17:5,Serious,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,27.05977,93.591429
Jharkhand,Jamshedpur,2019,July,Wednesday,13:12,Fatal,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,22.797546,86.221602
Madhya Pradesh,Indore,2023,April,Wednesday,20:45,Serious,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,22.70316,75.837992
Punjab,Jalandhar,2022,July,Tuesday,13:50,Minor,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,31.350588,75.563632
Chhattisgarh,Bilaspur,2023,November,Wednesday,21:56,Fatal,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,22.089578,82.14039
Madhya Pradesh,Jabalpur,2022,February,Sunday,15:38,Serious,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,23.197423,79.971871
Puducherry,Karaikal,2021,July,Saturday,11:17,Fatal,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,,69,38,Female,,No,Straight Road,10.948965,79.814966
Sikkim,Namchi,2021,February,Wednesday,19:49,Minor,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,,51,68,Female,,No,Intersection,27.155491,88.375273
Chandigarh,Chandigarh,2020,June,Thursday,9:33,Minor,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,30.75271,76.778154
Sikkim,Gyalshing,2020,August,Monday,4:33,Serious,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,27.28313,88.258647
Haryana,Panipat,2022,November,Friday,17:15,Serious,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,29.380565,76.944232
Himachal Pradesh,Dharamshala,2021,June,Thursday,20:32,Minor,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,,Yes,Bridge,32.238152,76.338971
Uttar Pradesh,Lucknow,2023,May,Tuesday,5:18,Serious,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,26.854634,80.927478
Assam,Dibrugarh,2018,November,Friday,9:58,Serious,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,,102,61,Female,Valid,Yes,Intersection,27.48462,94.894042
Odisha,Rourkela,2020,March,Wednesday,11:36,Minor,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,22.261221,84.837827
Puducherry,Puducherry,2022,April,Wednesday,3:5,Minor,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,11.964055,79.806595
Karnataka,Mangalore,2020,February,Wednesday,2:54,Serious,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,12.99317,77.594294
Gujarat,Ahmedabad,2022,January,Friday,13:46,Fatal,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,,Yes,Straight Road,23.026598,72.573129
Puducherry,Karaikal,2022,April,Monday,15:32,Minor,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,10.947827,79.85466
Sikkim,Namchi,2020,March,Monday,6:39,Minor,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,,No,Straight Road,27.189652,88.342801
Tamil Nadu,Coimbatore,2021,August,Sunday,16:25,Fatal,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,,No,Curve,11.039443,76.949387
Chandigarh,Chandigarh,2021,January,Tuesday,23:8,Serious,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,30.737518,76.784923
Nagaland,Mokokchung,2021,August,Friday,8:52,Minor,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,26.34112,94.536102
Uttarakhand,Haldwani,2021,September,Tuesday,20:38,Minor,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,,111,28,Female,Valid,Yes,Curve,29.231192,79.534407
Chandigarh,Chandigarh,2022,May,Friday,21:29,Minor,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,,No,Bridge,30.721863,76.800373
Jammu and Kashmir,Srinagar,2021,January,Friday,23:27,Serious,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,,No,Bridge,34.087115,74.798242
Andhra Pradesh,Tirupati,2022,May,Monday,6:51,Fatal,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,,No,Straight Road,13.617088,79.397232
Madhya Pradesh,Bhopal,2022,April,Monday,14:43,Serious,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,23.279999,77.409557
Chandigarh,Chandigarh,2018,June,Monday,2:57,Serious,3,Bus,5,5,Stormy,State Highway,Dry,Dark,,60,56,Female,Expired,No,Bridge,30.71104,76.787898
Uttar Pradesh,Varanasi,2020,February,Wednesday,23:57,Fatal,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,25.341819,82.988725
West Bengal,Durgapur,2021,September,Monday,14:41,Fatal,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,23.532432,87.296159
Chhattisgarh,Bhilai,2023,May,Monday,3:14,Serious,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,,Yes,Intersection,21.184622,81.389789
West Bengal,Siliguri,2021,January,Tuesday,4:32,Fatal,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,22.579507,88.366324
Delhi,Rohini,2021,January,Wednesday,1:38,Fatal,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,28.746964,77.090903
Gujarat,Ahmedabad,2019,June,Sunday,18:24,Serious,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,,66,47,Female,,No,Straight Road,23.000015,72.547782
Goa,Margao,2022,January,Thursday,10:48,Serious,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,15.295303,73.983623
Goa,Vasco da Gama,2018,December,Monday,4:38,Minor,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,15.378357,73.837607
Assam,Dibrugarh,2019,November,Wednesday,13:2,Serious,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,27.492883,94.89172
Punjab,Amritsar,2022,May,Wednesday,9:3,Fatal,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,,Yes,Bridge,31.626345,74.864275
Odisha,Rourkela,2020,September,Tuesday,3:54,Minor,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,22.260929,84.870315
Uttarakhand,Roorkee,2023,August,Friday,2:55,Fatal,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,29.834391,77.873743
Madhya Pradesh,Jabalpur,2022,November,Thursday,14:12,Serious,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,,41,28,Female,Valid,Yes,Curve,23.157784,79.971489
Karnataka,Mysore,2023,June,Sunday,16:49,Minor,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,12.977275,77.576486
Telangana,Karimnagar,2019,July,Saturday,15:48,Serious,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,,109,68,Male,Valid,No,Bridge,18.448814,79.15141
Bihar,Patna,2022,May,Tuesday,1:45,Minor,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,25.589753,85.132098
