State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius
Himachal Pradesh,Mandi,2023,December,Saturday,2:42,Fatal,2,Auto-Rickshaw,2,1,Clear,National Highway,Under Construction,Daylight,,86,24,Female,Expired,Yes,Intersection,31.708611,76.939762,0.02225935332944573,14.11060485839846,0.08481750488283524
West Bengal,Kolkata,2021,March,Saturday,4:35,Minor,4,Cycle,10,2,Hazy,Village Road,Dry,Daylight,,32,68,Male,Expired,Yes,Curve,22.551739,88.370251,0.004209108794839267,32.578775024414085,20.452005004882835
Nagaland,Dimapur,2022,February,Monday,4:41,Minor,1,Cycle,8,0,Stormy,Urban Road,Damaged,Daylight,Signals,57,54,Male,Valid,Yes,Intersection,25.90738,93.719393,0.01669899000944497,23.25617370605471,8.77820739746096
Puducherry,Karaikal,2023,December,Monday,12:51,Minor,3,Cycle,7,0,Rainy,National Highway,Wet,Daylight,Police Checkpost,104,64,Female,Expired,No,Curve,10.924228,79.819141,-9999.0,-9999.0,-9999.0
Andhra Pradesh,Visakhapatnam,2018,May,Tuesday,0:25,Minor,2,Bus,6,0,Foggy,Urban Road,Wet,Dark,,86,24,Female,,Yes,Straight Road,17.711183,83.20135,0.22552721202373505,33.29262695312502,26.808404541015648
Assam,Silchar,2018,April,Friday,15:50,Serious,3,Pedestrian,4,0,Clear,Village Road,Under Construction,Dusk,,119,70,Male,Valid,Yes,Bridge,24.856235,92.77623,56.82534314572152,31.846673583984398,20.462335205078148
Madhya Pradesh,Bhopal,2022,January,Sunday,6:48,Serious,3,Cycle,3,1,Hazy,Village Road,Damaged,Dusk,Signals,110,24,Male,Valid,No,Straight Road,23.235522,77.422516,0.18657645239272824,19.903298950195335,10.229669189453148
Himachal Pradesh,Mandi,2021,May,Saturday,0:14,Serious,5,Auto-Rickshaw,5,3,Clear,National Highway,Damaged,Dawn,Signals,99,27,Male,Valid,Yes,Bridge,31.717349,76.947993,3.131402316398635,22.15076599121096,7.23621520996096
Jharkhand,Bokaro,2020,August,Tuesday,19:14,Minor,3,Truck,10,2,Rainy,Urban Road,Damaged,Dark,Signs,79,37,Male,,Yes,Intersection,23.691607,86.145219,82.3153994976451,30.77570495605471,25.599710083007835
Odisha,Rourkela,2019,May,Sunday,10:35,Minor,5,Cycle,5,1,Hazy,State Highway,Dry,Dusk,Police Checkpost,45,56,Male,Expired,Yes,Bridge,22.275616,84.863858,5.527582764589312,39.67707214355471,25.310235595703148
Odisha,Bhubaneswar,2018,January,Thursday,8:38,Fatal,4,Car,9,3,Rainy,State Highway,Damaged,Dawn,Signs,88,42,Female,,No,Bridge,20.305975,85.814908,0.017464159896007914,26.471658325195335,12.746255493164085
Telangana,Karimnagar,2021,July,Wednesday,21:54,Serious,3,Auto-Rickshaw,2,4,Foggy,Village Road,Damaged,Dawn,Police Checkpost,76,23,Male,,No,Intersection,18.414193,79.140439,25.621562822625066,29.111978149414085,24.826638793945335
Tripura,Dharmanagar,2021,April,Wednesday,1:39,Minor,3,Truck,7,5,Rainy,State Highway,Wet,Dark,Police Checkpost,81,58,Male,Expired,No,Straight Road,24.380154,92.152964,3.790352504644545,35.31025085449221,23.313287353515648
Goa,Vasco da Gama,2018,July,Tuesday,12:16,Fatal,1,Bus,1,1,Hazy,Urban Road,Damaged,Daylight,Police Checkpost,98,52,Male,Expired,Yes,Intersection,15.415323,73.796559,-9999.0,-9999.0,-9999.0
Chhattisgarh,Korba,2023,November,Thursday,11:52,Fatal,2,Car,3,3,Rainy,Urban Road,Under Construction,Dawn,,65,52,Male,Expired,Yes,Straight Road,22.353092,82.773396,0.12514591215051496,28.30097351074221,16.535638427734398
Punjab,Jalandhar,2019,August,Wednesday,11:43,Fatal,2,Pedestrian,0,3,Rainy,Village Road,Wet,Dark,Police Checkpost,108,33,Female,Valid,Yes,Curve,31.341316,75.565996,99.14019890129566,32.1534362792969,25.898828125000023
Uttar Pradesh,Lucknow,2022,October,Wednesday,4:58,Serious,3,Two-Wheeler,8,5,Rainy,Village Road,Under Construction,Dusk,,112,24,Male,Valid,No,Curve,26.829175,80.943901,0.02078223081980468,29.63160095214846,19.078759765625023
Telangana,Hyderabad,2022,April,Sunday,19:7,Fatal,2,Cycle,0,3,Clear,Village Road,Damaged,Dusk,,118,25,Female,Valid,Yes,Straight Road,17.3886,78.490559,15.684911425321246,36.95008239746096,25.981729125976585
Nagaland,Dimapur,2023,February,Thursday,4:25,Serious,1,Bus,9,5,Clear,State Highway,Dry,Dark,Signals,81,46,Male,Expired,Yes,Curve,25.880996,93.719484,38.10205082112361,23.88038024902346,12.87574157714846
Kerala,Thiruvananthapuram,2019,January,Monday,17:2,Minor,4,Pedestrian,6,2,Stormy,Urban Road,Wet,Dusk,Signals,91,50,Female,,No,Bridge,8.518156,76.961467,0.005420890829554992,32.06592712402346,22.76423034667971
Jammu and Kashmir,Baramulla,2022,October,Tuesday,0:22,Serious,3,Bus,0,1,Rainy,Urban Road,Dry,Dusk,Signs,95,29,Male,Valid,No,Intersection,34.222391,74.356501,0.0008593783036303648,21.015435791015648,8.542520141601585
Himachal Pradesh,Dharamshala,2019,May,Tuesday,22:55,Fatal,1,Car,0,1,Rainy,State Highway,Damaged,Daylight,Signals,37,67,Female,Expired,No,Bridge,32.203702,76.316551,49.08690303560448,12.731225585937523,2.6796508789062727
Delhi,Rohini,2018,February,Tuesday,15:58,Serious,2,Bus,3,3,Rainy,Urban Road,Dry,Daylight,Signals,81,69,Female,Valid,No,Intersection,28.746061,77.084995,0.018526394853779493,22.816644287109398,11.058129882812523
Karnataka,Mangalore,2018,March,Friday,15:42,Fatal,4,Bus,2,2,Clear,State Highway,Damaged,Daylight,Signs,89,57,Female,Valid,No,Intersection,12.983343,77.619008,4.979262423432829,31.728128051757835,20.25867614746096
Karnataka,Mangalore,2019,August,Tuesday,5:26,Serious,2,Two-Wheeler,3,5,Clear,National Highway,Damaged,Dusk,Police Checkpost,76,47,Male,Valid,Yes,Intersection,12.996092,77.602986,52.83565632998943,26.126504516601585,20.328515625000023
Madhya Pradesh,Gwalior,2022,June,Monday,1:3,Minor,4,Car,7,3,Foggy,Urban Road,Dry,Dusk,Signals,32,69,Male,Expired,Yes,Bridge,26.242828,78.17953,6.769510730862294,41.02761230468752,31.04340515136721
Manipur,Bishnupur,2021,November,Thursday,19:25,Fatal,5,Bus,6,1,Foggy,Village Road,Wet,Dark,Signals,104,38,Male,Valid,Yes,Intersection,24.608644,93.773865,21.042814850090963,22.061761474609398,14.493005371093773
Gujarat,Surat,2019,October,Friday,10:23,Serious,3,Pedestrian,4,0,Rainy,State Highway,Dry,Daylight,Signals,107,23,Female,Valid,Yes,Straight Road,21.169442,72.827151,0.0004188096340840275,34.44295654296877,22.064202880859398
Rajasthan,Jaipur,2018,October,Saturday,4:24,Minor,1,Bus,9,2,Rainy,Urban Road,Wet,Dusk,Signs,79,64,Male,Expired,No,Intersection,26.902923,75.773416,0.005149841278750955,33.09919128417971,17.83588562011721
Tamil Nadu,Madurai,2021,April,Thursday,5:29,Minor,2,Auto-Rickshaw,1,5,Clear,National Highway,Under Construction,Dusk,Police Checkpost,84,30,Male,Valid,Yes,Intersection,9.932562,78.118596,295.7966812066175,33.21822509765627,23.526177978515648
Karnataka,Mysore,2018,April,Saturday,6:45,Fatal,3,Car,0,3,Hazy,Urban Road,Dry,Dark,,98,54,Female,Valid,No,Straight Road,12.950633,77.59701,1.3125106680327292,32.77497253417971,22.352960205078148
Arunachal Pradesh,Itanagar,2021,January,Friday,2:56,Serious,3,Truck,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,51,21,Female,Expired,No,Intersection,27.092158,93.599207,0.5739528684785,18.388543701171898,9.75440368652346
Uttarakhand,Haridwar,2023,February,Saturday,12:5,Minor,2,Pedestrian,9,4,Stormy,Village Road,Wet,Dusk,,66,65,Male,,No,Curve,29.927631,78.166763,0.02357135230113272,22.050683593750023,7.61054382324221
Punjab,Patiala,2018,June,Saturday,3:58,Minor,1,Truck,8,1,Rainy,National Highway,Under Construction,Dusk,Signals,74,49,Male,,No,Bridge,30.315384,76.407088,0.10054232683387454,39.57952270507815,28.695245361328148
Chhattisgarh,Bhilai,2019,October,Tuesday,16:0,Fatal,5,Cycle,0,1,Clear,National Highway,Damaged,Daylight,Signals,33,37,Male,Valid,No,Intersection,21.224661,81.36425,1.4436335241612142,30.493737792968773,20.236779785156273
Sikkim,Gangtok,2023,August,Sunday,7:19,Serious,4,Car,0,1,Stormy,State Highway,Wet,Dusk,Signs,59,23,Male,Expired,Yes,Intersection,27.357761,88.591878,428.62778902053833,22.138223266601585,16.461892700195335
Chandigarh,Chandigarh,2022,December,Saturday,17:58,Serious,4,Auto-Rickshaw,7,2,Clear,Urban Road,Dry,Daylight,Police Checkpost,64,67,Male,Expired,No,Straight Road,30.756768,76.754858,0.001289029341933201,20.432183837890648,7.188394165039085
Delhi,Dwarka,2023,February,Tuesday,10:44,Fatal,5,Two-Wheeler,7,2,Rainy,Urban Road,Damaged,Dawn,Signals,62,25,Male,Valid,Yes,Bridge,28.569477,77.030774,0.02357135230113272,27.165917968750023,12.226525878906273
West Bengal,Siliguri,2021,October,Sunday,3:52,Minor,1,Two-Wheeler,7,4,Hazy,National Highway,Wet,Daylight,Signals,51,54,Male,Valid,Yes,Intersection,22.568255,88.386798,26.018412690916648,33.34172973632815,25.667596435546898
Chhattisgarh,Raipur,2018,August,Thursday,7:49,Minor,4,Auto-Rickshaw,9,3,Clear,State Highway,Dry,Dark,Signals,40,36,Male,,No,Bridge,21.273419,81.628361,438.080290603466,29.909646606445335,24.496682739257835
Uttarakhand,Haridwar,2018,August,Saturday,1:43,Minor,4,Pedestrian,1,4,Hazy,Village Road,Dry,Dawn,Police Checkpost,44,53,Female,Expired,No,Intersection,29.955814,78.143411,52.0688521592092,30.366113281250023,24.015115356445335
Maharashtra,Pune,2021,May,Saturday,19:55,Fatal,5,Auto-Rickshaw,9,4,Stormy,Urban Road,Dry,Dark,Signals,85,21,Male,Expired,Yes,Intersection,18.518527,73.857043,9.573740544624343,38.04425964355471,23.729653930664085
Manipur,Bishnupur,2022,February,Wednesday,3:53,Fatal,3,Car,10,3,Foggy,National Highway,Under Construction,Daylight,Signs,114,18,Female,,No,Intersection,24.614681,93.761659,0.01669899000944497,21.23859558105471,9.005120849609398
Goa,Panaji,2020,March,Thursday,16:29,Fatal,2,Two-Wheeler,3,1,Foggy,State Highway,Dry,Dusk,Police Checkpost,81,42,Female,Expired,Yes,Curve,15.473503,73.824101,0.0017046928064701206,33.25367126464846,22.043847656250023
Haryana,Ambala,2022,July,Sunday,5:35,Minor,3,Two-Wheeler,9,2,Hazy,State Highway,Under Construction,Dusk,,33,46,Male,Expired,Yes,Curve,30.376019,76.759748,21.060301371750967,34.47481689453127,26.451806640625023
Uttar Pradesh,Kanpur,2022,November,Friday,0:13,Fatal,1,Car,5,2,Stormy,State Highway,Damaged,Dusk,,72,53,Male,Valid,No,Intersection,26.471734,80.356474,0.000852346317969932,28.123635864257835,15.926293945312523
Jammu and Kashmir,Srinagar,2020,March,Thursday,5:53,Minor,3,Truck,10,2,Rainy,State Highway,Damaged,Dark,Police Checkpost,112,54,Female,Valid,No,Bridge,34.093168,74.776055,1.2129157781259892,10.51081237792971,-0.34529724121091476
Assam,Guwahati,2020,March,Thursday,7:38,Fatal,4,Two-Wheeler,9,3,Stormy,Village Road,Under Construction,Dusk,,38,58,Male,Valid,Yes,Intersection,26.123978,91.731624,3.0002877115862248,28.40155944824221,18.117883300781273
Nagaland,Kohima,2018,January,Thursday,13:18,Fatal,3,Auto-Rickshaw,1,3,Foggy,Village Road,Damaged,Dusk,Signs,44,65,Male,,No,Intersection,25.681817,94.104541,7.9600960006018795,16.984902954101585,8.787271118164085
Gujarat,Ahmedabad,2022,November,Wednesday,7:41,Minor,2,Bus,9,4,Rainy,National Highway,Damaged,Dawn,Police Checkpost,117,54,Female,Valid,No,Bridge,23.020998,72.584843,0.000852346317969932,31.368753051757835,17.449731445312523
Uttar Pradesh,Varanasi,2023,July,Thursday,21:57,Minor,3,Two-Wheeler,4,5,Rainy,Urban Road,Wet,Daylight,Signs,44,24,Male,,Yes,Straight Road,25.319829,82.995556,312.59123384952045,33.1635681152344,26.65711364746096
Kerala,Thrissur,2021,January,Thursday,0:49,Fatal,1,Truck,1,4,Clear,State Highway,Under Construction,Daylight,,106,41,Female,,Yes,Bridge,10.545415,76.215209,2.9462382196356884,29.027215576171898,23.710488891601585
Jammu and Kashmir,Baramulla,2020,May,Sunday,7:19,Serious,3,Cycle,3,1,Stormy,Urban Road,Wet,Dark,Police Checkpost,94,70,Female,,No,Bridge,34.215603,74.32177,20.273760332429447,19.466088867187523,8.597894287109398
Maharashtra,Nagpur,2023,August,Tuesday,4:9,Minor,1,Truck,1,2,Clear,National Highway,Wet,Dark,Police Checkpost,46,29,Male,Valid,Yes,Bridge,21.139188,79.076502,2.302004024386406,31.179101562500023,24.123834228515648
Uttar Pradesh,Kanpur,2018,July,Tuesday,22:52,Fatal,3,Pedestrian,0,0,Stormy,National Highway,Dry,Dark,Signals,53,55,Male,Valid,Yes,Straight Road,26.457791,80.320744,48.067302538910894,34.07576904296877,25.982415771484398
Punjab,Patiala,2019,September,Sunday,17:29,Minor,1,Cycle,3,4,Stormy,State Highway,Damaged,Dawn,,36,51,Female,Expired,Yes,Intersection,30.341655,76.406966,9.077503532068931,31.20429382324221,25.15162048339846
Rajasthan,Jodhpur,2020,May,Friday,4:44,Fatal,5,Truck,6,1,Foggy,Urban Road,Damaged,Dark,,113,58,Female,,No,Straight Road,26.236102,73.000499,0.010228155815639184,40.42839965820315,25.864709472656273
Gujarat,Surat,2021,October,Sunday,22:53,Minor,5,Auto-Rickshaw,8,1,Hazy,Urban Road,Under Construction,Dusk,Police Checkpost,66,60,Female,Valid,Yes,Curve,21.159831,72.846419,0.043058675089469034,33.531594848632835,21.608728027343773
Mizoram,Aizawl,2020,November,Saturday,17:57,Minor,3,Bus,10,2,Foggy,State Highway,Under Construction,Dark,Signals,89,49,Female,Expired,No,Bridge,23.70559,92.707319,0.010827302503457759,27.47083435058596,15.552667236328148
Kerala,Kochi,2019,December,Tuesday,8:22,Fatal,2,Cycle,4,1,Hazy,State Highway,Under Construction,Dark,Signs,63,59,Male,,No,Straight Road,9.918359,76.280485,3.473983713970341,30.54639587402346,23.950860595703148
Uttar Pradesh,Kanpur,2018,March,Saturday,8:51,Fatal,1,Cycle,7,5,Clear,Urban Road,Under Construction,Daylight,Signs,81,39,Male,Expired,No,Straight Road,26.45654,80.327279,12.62066729060507,33.60352478027346,16.906655883789085
Odisha,Bhubaneswar,2019,February,Wednesday,21:37,Fatal,1,Auto-Rickshaw,2,3,Hazy,National Highway,Damaged,Daylight,,37,64,Female,Valid,Yes,Bridge,20.27766,85.825968,0.024233757130787126,31.648049926757835,18.470330810546898
Uttarakhand,Haldwani,2020,December,Friday,21:29,Fatal,3,Bus,6,0,Clear,Village Road,Damaged,Dark,Signs,39,54,Male,,No,Curve,29.22097,79.493012,0.000852346317969932,17.528298950195335,6.084008789062523
Maharashtra,Mumbai,2021,January,Sunday,10:25,Serious,2,Car,4,4,Foggy,Urban Road,Dry,Dusk,Signals,72,24,Female,Valid,Yes,Intersection,19.088368,72.863969,0.000852346317969932,28.525262451171898,20.556192016601585
Madhya Pradesh,Indore,2021,August,Sunday,6:36,Fatal,4,Two-Wheeler,4,2,Rainy,Urban Road,Under Construction,Dawn,,54,28,Male,,Yes,Intersection,22.697527,75.839336,27.036027957933584,27.773477172851585,21.918069458007835
Nagaland,Kohima,2023,December,Saturday,13:40,Minor,4,Car,1,5,Stormy,Village Road,Damaged,Dusk,Signs,95,18,Male,Expired,No,Curve,25.695077,94.130055,0.5271479474799889,17.59693298339846,7.008645629882835
Goa,Margao,2020,January,Monday,19:51,Minor,2,Auto-Rickshaw,9,1,Stormy,Village Road,Under Construction,Daylight,Police Checkpost,114,22,Female,Expired,No,Curve,15.283845,73.999127,0.013667343409906607,30.85126647949221,20.613549804687523
Jammu and Kashmir,Anantnag,2020,May,Friday,12:27,Serious,5,Bus,6,0,Rainy,Village Road,Dry,Dark,Police Checkpost,112,34,Female,,No,Straight Road,33.732222,75.164567,20.37752549972538,19.03986511230471,6.386956787109398
Kerala,Thrissur,2020,February,Wednesday,13:13,Minor,2,Bus,3,0,Rainy,State Highway,Under Construction,Dusk,Signals,57,29,Female,,No,Bridge,10.535777,76.190517,0.006008148115910217,35.6767517089844,24.739297485351585
Karnataka,Mangalore,2018,January,Wednesday,6:3,Minor,5,Cycle,9,0,Foggy,Village Road,Wet,Dawn,Signs,100,45,Male,,Yes,Curve,12.972488,77.570071,0.01868605511390342,28.826257324218773,14.767739868164085
Delhi,New Delhi,2020,July,Saturday,9:22,Fatal,3,Truck,1,2,Rainy,State Highway,Under Construction,Dawn,Signals,87,57,Female,Valid,No,Intersection,28.6045,77.199097,5.085307643280856,34.5894714355469,27.262994384765648
Punjab,Jalandhar,2022,November,Monday,19:32,Fatal,3,Truck,3,0,Stormy,Village Road,Under Construction,Dawn,Signs,32,48,Male,Valid,Yes,Bridge,31.322376,75.585682,0.36959648122092403,24.793557739257835,12.21289978027346
Tripura,Udaipur,2023,May,Saturday,5:8,Fatal,5,Cycle,7,2,Clear,Urban Road,Dry,Dark,Signs,81,43,Male,,Yes,Curve,23.515453,91.464414,39.61294974155649,32.68982849121096,21.435968017578148
Rajasthan,Jodhpur,2019,October,Saturday,15:16,Serious,2,Bus,8,3,Hazy,Village Road,Dry,Dark,Signals,39,68,Female,,No,Intersection,26.257869,73.028864,0.09216525910460405,34.43514404296877,23.090814208984398
Uttar Pradesh,Kanpur,2021,July,Thursday,20:34,Serious,2,Pedestrian,6,1,Rainy,National Highway,Wet,Dark,Signals,54,47,Female,,Yes,Curve,26.44634,80.333598,5.5958196510523806,35.32331237792971,28.519998168945335
Puducherry,Puducherry,2020,August,Thursday,14:50,Minor,1,Two-Wheeler,6,5,Clear,Urban Road,Under Construction,Dusk,Signals,41,58,Male,Expired,No,Intersection,11.925258,79.817685,-9999.0,-9999.0,-9999.0
Rajasthan,Jodhpur,2021,August,Sunday,2:4,Fatal,1,Pedestrian,5,1,Stormy,National Highway,Wet,Dawn,Signs,106,51,Female,,No,Intersection,26.239594,73.030739,0.08178686096016463,34.332070922851585,25.499902343750023
Chandigarh,Chandigarh,2019,March,Friday,13:38,Serious,4,Two-Wheeler,1,4,Stormy,Village Road,Wet,Dark,Signals,39,53,Male,Expired,No,Straight Road,30.716785,76.775089,6.9556555213239335,22.85608825683596,9.45856628417971
Assam,Silchar,2022,March,Saturday,23:32,Minor,5,Cycle,2,4,Stormy,Village Road,Damaged,Dawn,Signs,36,37,Female,,Yes,Curve,24.851334,92.762743,0.15058823493063755,34.68258056640627,18.86902770996096
Meghalaya,Nongstoin,2022,August,Sunday,4:46,Fatal,5,Cycle,1,5,Foggy,Urban Road,Dry,Dark,,103,65,Female,Expired,Yes,Straight Road,25.519047,91.239674,96.0323004971535,25.498025512695335,19.988076782226585
Uttar Pradesh,Lucknow,2023,March,Tuesday,7:34,Serious,1,Car,6,2,Rainy,State Highway,Dry,Dusk,Signs,80,41,Female,,No,Curve,26.859936,80.946918,0.16525216943819032,33.35064086914065,16.690301513671898
Uttar Pradesh,Lucknow,2020,May,Thursday,3:23,Minor,5,Two-Wheeler,5,0,Foggy,Village Road,Wet,Daylight,Signs,44,49,Female,Expired,No,Bridge,26.851104,80.931705,0.578826664650478,39.06374511718752,25.60846862792971
Kerala,Kozhikode,2020,June,Thursday,12:50,Fatal,4,Pedestrian,2,1,Stormy,Urban Road,Wet,Dusk,Signals,63,24,Female,,Yes,Curve,11.268103,75.765068,178.02004338636834,27.088494873046898,24.239862060546898
Telangana,Nizamabad,2021,February,Monday,5:0,Minor,3,Car,4,0,Clear,Village Road,Wet,Dark,Police Checkpost,53,62,Female,,No,Curve,18.688303,78.081172,0.005985124460039515,32.52552185058596,20.87189636230471
Madhya Pradesh,Bhopal,2020,August,Wednesday,19:46,Fatal,4,Auto-Rickshaw,5,4,Clear,Village Road,Wet,Dark,Signs,60,29,Female,Expired,Yes,Curve,23.264298,77.434685,62.03012838949462,27.31513366699221,23.639855957031273
Himachal Pradesh,Solan,2019,July,Friday,21:19,Minor,1,Truck,9,0,Stormy,National Highway,Dry,Dark,Signs,108,44,Female,,No,Bridge,30.928247,77.073888,117.89501421153048,23.425744628906273,18.297662353515648
Assam,Jorhat,2019,June,Friday,1:48,Serious,4,Truck,0,4,Foggy,National Highway,Damaged,Dusk,Signals,36,25,Male,Expired,No,Curve,26.770237,94.20299,87.28383965785724,32.388345336914085,26.107461547851585
Meghalaya,Jowai,2023,December,Friday,2:51,Fatal,5,Cycle,0,4,Clear,Urban Road,Damaged,Daylight,Police Checkpost,38,30,Female,Valid,No,Straight Road,25.439385,92.204959,0.11214315765073479,16.16529235839846,8.217630004882835
Karnataka,Mysore,2023,July,Sunday,1:5,Fatal,2,Two-Wheeler,1,4,Foggy,Urban Road,Dry,Dawn,Police Checkpost,48,56,Male,,Yes,Curve,12.992009,77.593688,21.97265028953055,27.45032653808596,20.547830200195335
Gujarat,Surat,2021,October,Wednesday,8:6,Fatal,2,Truck,2,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,102,68,Male,Valid,No,Bridge,21.181293,72.825206,0.043058675089469034,33.531594848632835,21.608728027343773
Delhi,Dwarka,2020,November,Wednesday,20:42,Serious,1,Pedestrian,7,5,Rainy,Urban Road,Wet,Dark,Signs,108,37,Female,,Yes,Straight Road,28.594625,77.043905,45.89055639462458,28.241693115234398,15.549737548828148
Mizoram,Champhai,2021,February,Monday,19:41,Serious,5,Auto-Rickshaw,7,3,Foggy,National Highway,Wet,Daylight,Signs,33,56,Male,,No,Curve,23.459997,93.335242,0.005985124460039515,21.447595214843773,7.660256958007835
Tamil Nadu,Madurai,2020,September,Sunday,5:29,Fatal,4,Two-Wheeler,1,3,Rainy,Village Road,Damaged,Dusk,Police Checkpost,75,30,Male,Valid,No,Straight Road,9.932013,78.104883,32.52253532389204,33.488504028320335,24.00238952636721
Jammu and Kashmir,Srinagar,2020,February,Monday,12:47,Serious,2,Truck,9,1,Clear,Village Road,Under Construction,Dusk,,41,22,Male,Expired,No,Intersection,34.10813,74.78012,0.6507124751031768,8.391458129882835,-2.7450775146484148
Jammu and Kashmir,Baramulla,2023,June,Sunday,23:53,Fatal,3,Auto-Rickshaw,5,1,Foggy,National Highway,Under Construction,Dark,,70,56,Male,,Yes,Bridge,34.215886,74.362458,70.8700006501779,23.12769470214846,12.327294921875023
Delhi,Dwarka,2018,June,Saturday,10:49,Fatal,5,Bus,7,1,Stormy,National Highway,Damaged,Dark,Signs,109,24,Female,Expired,No,Bridge,28.583013,77.057076,0.0008535584470337199,38.98894653320315,31.275674438476585
Jammu and Kashmir,Jammu,2020,November,Thursday,3:10,Serious,5,Auto-Rickshaw,7,2,Rainy,Urban Road,Under Construction,Dark,Signs,82,55,Male,,Yes,Straight Road,32.71536,74.852114,135.16234208600508,20.001947021484398,11.17688903808596
Delhi,Dwarka,2021,October,Thursday,22:47,Fatal,4,Car,0,2,Foggy,Village Road,Wet,Dawn,Signs,37,20,Female,Valid,No,Straight Road,28.568478,77.067747,0.012004655161490518,32.500344848632835,18.32233581542971
Nagaland,Mokokchung,2019,January,Wednesday,10:50,Fatal,3,Truck,1,5,Stormy,State Highway,Under Construction,Dark,,51,26,Female,Expired,Yes,Straight Road,26.31852,94.508574,4.8195483509516635,17.64612731933596,6.211450195312523
Telangana,Karimnagar,2023,January,Friday,19:19,Minor,3,Two-Wheeler,0,3,Clear,Urban Road,Dry,Dawn,Signals,49,21,Male,,No,Intersection,18.445315,79.114762,0.016834607151849923,30.129327392578148,18.73761901855471
Tamil Nadu,Coimbatore,2020,February,Wednesday,22:9,Fatal,5,Bus,2,0,Rainy,Urban Road,Dry,Daylight,,53,40,Male,,Yes,Straight Road,11.03339,76.964563,0.006008148115910217,31.420755004882835,19.874063110351585
Chandigarh,Chandigarh,2018,July,Wednesday,3:33,Fatal,5,Bus,9,3,Clear,Urban Road,Under Construction,Daylight,Signals,73,57,Female,Expired,Yes,Bridge,30.757754,76.77232,22.179112865487127,34.04061279296877,26.208978271484398
Goa,Panaji,2021,October,Friday,6:45,Fatal,4,Bus,8,5,Hazy,State Highway,Under Construction,Dusk,Police Checkpost,92,52,Female,,Yes,Straight Road,15.474096,73.804946,206.45772097662984,30.554116821289085,24.28132019042971
Odisha,Bhubaneswar,2022,March,Friday,17:14,Fatal,3,Car,5,1,Hazy,Urban Road,Damaged,Dawn,Police Checkpost,51,56,Female,,Yes,Bridge,20.289323,85.80349,0.0035435762697488826,35.73726806640627,22.704919433593773
Nagaland,Kohima,2019,February,Wednesday,22:46,Minor,2,Two-Wheeler,9,3,Clear,Urban Road,Dry,Dawn,Police Checkpost,106,70,Female,Valid,Yes,Straight Road,25.676646,94.132794,1.8087539808675501,20.878030395507835,9.327844238281273
Andhra Pradesh,Vijayawada,2018,October,Thursday,11:28,Fatal,4,Cycle,3,3,Foggy,Urban Road,Under Construction,Dark,Signals,34,43,Male,Valid,Yes,Intersection,16.528175,80.656544,53.85739970949288,31.99567565917971,24.103616333007835
Gujarat,Surat,2020,August,Saturday,0:25,Minor,2,Bus,4,2,Hazy,National Highway,Damaged,Dark,Signals,76,55,Female,Expired,Yes,Bridge,21.159538,72.848971,279.3724864720275,27.112405395507835,25.563684082031273
Maharashtra,Pune,2021,December,Wednesday,7:21,Fatal,3,Truck,5,2,Rainy,National Highway,Wet,Dusk,Signs,96,39,Female,Expired,Yes,Curve,18.49554,73.878939,16.716325282985167,24.75208435058596,16.23224792480471
Himachal Pradesh,Dharamshala,2020,March,Wednesday,0:43,Fatal,3,Cycle,6,3,Foggy,National Highway,Damaged,Dark,,109,58,Male,Valid,Yes,Intersection,32.227311,76.340385,18.393976986374128,1.8136230468750227,-5.133551025390602
Haryana,Gurugram,2020,March,Sunday,8:10,Serious,4,Bus,5,2,Stormy,State Highway,Dry,Daylight,,106,44,Female,Valid,Yes,Curve,28.470618,77.048968,10.38584522899555,21.28034362792971,10.803140258789085
Bihar,Patna,2023,October,Tuesday,9:18,Fatal,1,Two-Wheeler,1,4,Hazy,Urban Road,Damaged,Daylight,Signals,50,24,Male,,Yes,Straight Road,25.592098,85.158014,0.5908191197363521,31.881005859375023,21.723306274414085
Jammu and Kashmir,Jammu,2022,December,Monday,23:7,Fatal,5,Bus,5,1,Stormy,National Highway,Wet,Daylight,,82,44,Female,Valid,No,Curve,32.748923,74.865853,0.001289029341933201,19.61634216308596,3.2264038085937727
Punjab,Ludhiana,2021,August,Sunday,4:0,Fatal,3,Auto-Rickshaw,8,5,Hazy,State Highway,Under Construction,Daylight,,112,19,Female,Expired,Yes,Intersection,30.898381,75.860644,18.690150206225553,33.4625183105469,24.953225708007835
Kerala,Kochi,2019,October,Tuesday,16:4,Fatal,3,Pedestrian,6,3,Hazy,Urban Road,Wet,Dawn,Signals,41,50,Female,,Yes,Intersection,9.91331,76.25721,64.0461311614331,28.766870117187523,24.708734130859398
Mizoram,Aizawl,2021,July,Monday,1:10,Fatal,1,Two-Wheeler,3,1,Rainy,Urban Road,Wet,Dawn,Signals,110,48,Female,Expired,Yes,Intersection,23.749091,92.723872,86.3106414665431,28.956262207031273,21.945413208007835
