,State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Traffic Congestion
657,Uttar Pradesh,Lucknow,2023,November,Wednesday,11:56,Serious,4,Truck,1,0,Clear,Urban Road,Wet,Daylight,,66,49,Male,,Yes,Straight Road,26.866874,80.949773,0.0034332275191673,26.86737976074221,14.690652465820335,0.8944271909999159
658,Chandigarh,Chandigarh,2020,August,Friday,14:56,Minor,1,Truck,7,5,Clear,Urban Road,Dry,Dark,Signals,94,31,Male,Expired,Yes,Intersection,30.743826,76.766944,15.143388137119018,30.96747741699221,25.887902832031276,0.4472135954999579
659,Jharkhand,Bokaro,2020,February,Tuesday,22:38,Fatal,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,,No,Curve,23.672926,86.145258,0.0060081481159102,26.7412048339844,11.30365905761721,1.0
660,Manipur,Imphal,2022,February,Thursday,8:2,Fatal,4,Car,10,3,Rainy,National Highway,Dry,Dawn,,104,67,Male,Valid,Yes,Intersection,24.817525,93.914692,0.0166989900094449,21.63507995605471,6.78211364746096,0.8944271909999159
661,Uttarakhand,Haridwar,2021,August,Tuesday,4:25,Serious,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,29.969161,78.165734,20.23503740622345,31.3117614746094,24.074319458007835,1.0
662,Himachal Pradesh,Solan,2023,July,Monday,21:28,Minor,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,30.905379,77.093812,313.7477371841619,24.776574707031276,19.39548645019533,0.7745966692414833
663,Arunachal Pradesh,Itanagar,2021,December,Thursday,17:5,Serious,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,27.05977,93.591429,0.063815712863402,21.0192810058594,11.409600830078148,0.4472135954999579
664,Jharkhand,Jamshedpur,2019,July,Wednesday,13:12,Fatal,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,22.797546,86.221602,5.830095708365235,34.10018310546877,27.577416992187523,0.8944271909999159
665,Madhya Pradesh,Indore,2023,April,Wednesday,20:45,Serious,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,22.70316,75.837992,0.0093975623940423,36.93068847656252,23.563394165039085,0.4472135954999579
666,Punjab,Jalandhar,2022,July,Tuesday,13:50,Minor,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,31.350588,75.563632,66.62346460753454,30.27588806152346,24.678369140625023,0.7745966692414833
667,Chhattisgarh,Bilaspur,2023,November,Wednesday,21:56,Fatal,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,22.089578,82.14039,0.0145196914473899,28.80097351074221,17.187982177734398,0.6324555320336759
668,Madhya Pradesh,Jabalpur,2022,February,Sunday,15:38,Serious,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,23.197423,79.971871,0.0475741960030973,27.294595336914085,15.180902099609398,0.8944271909999159
669,Puducherry,Karaikal,2021,July,Saturday,11:17,Fatal,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,,69,38,Female,,No,Straight Road,10.948965,79.814966,-9999.0,-9999.0,-9999.0,0.6324555320336759
670,Sikkim,Namchi,2021,February,Wednesday,19:49,Minor,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,,51,68,Female,,No,Intersection,27.155491,88.375273,73.27172949766236,16.062829589843773,8.507379150390648,0.8944271909999159
671,Chandigarh,Chandigarh,2020,June,Thursday,9:33,Minor,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,30.75271,76.778154,0.1365096254630771,40.2525573730469,25.77097473144533,0.6324555320336759
672,Sikkim,Gyalshing,2020,August,Monday,4:33,Serious,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,27.28313,88.258647,257.18120038499137,22.33820495605471,17.640069580078148,0.6324555320336759
673,Haryana,Panipat,2022,November,Friday,17:15,Serious,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,29.380565,76.944232,0.3992311655451885,26.693948364257835,15.795327758789083,0.6324555320336759
674,Himachal Pradesh,Dharamshala,2021,June,Thursday,20:32,Minor,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,,Yes,Bridge,32.238152,76.338971,23.594330036928568,15.934289550781273,8.723840332031273,0.6324555320336759
675,Uttar Pradesh,Lucknow,2023,May,Tuesday,5:18,Serious,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,26.854634,80.927478,0.3004939384005922,39.58435974121096,24.32648620605471,0.7745966692414833
676,Assam,Dibrugarh,2018,November,Friday,9:58,Serious,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,,102,61,Female,Valid,Yes,Intersection,27.48462,94.894042,73.75422444840751,22.393457031250023,16.788323974609398,0.4472135954999579
677,Odisha,Rourkela,2020,March,Wednesday,11:36,Minor,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,22.261221,84.837827,44.45549324151443,28.291360473632835,19.496972656250023,0.4472135954999579
678,Puducherry,Puducherry,2022,April,Wednesday,3:5,Minor,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,11.964055,79.806595,-9999.0,-9999.0,-9999.0,1.0
679,Karnataka,Mangalore,2020,February,Wednesday,2:54,Serious,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,12.99317,77.594294,0.0060081481159102,30.598489379882835,16.053750610351585,0.8944271909999159
680,Gujarat,Ahmedabad,2022,January,Friday,13:46,Fatal,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,,Yes,Straight Road,23.026598,72.573129,0.0021485055867742,24.29978332519533,11.817773437500025,0.8944271909999159
681,Puducherry,Karaikal,2022,April,Monday,15:32,Minor,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,10.947827,79.85466,-9999.0,-9999.0,-9999.0,0.8944271909999159
682,Sikkim,Namchi,2020,March,Monday,6:39,Minor,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,,No,Straight Road,27.189652,88.342801,128.9161428808825,19.245263671875023,9.122308349609398,0.7745966692414833
683,Tamil Nadu,Coimbatore,2021,August,Sunday,16:25,Fatal,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,,No,Curve,11.039443,76.949387,15.469508220689931,28.873010253906276,21.232324218750023,0.6324555320336759
684,Chandigarh,Chandigarh,2021,January,Tuesday,23:8,Serious,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,30.737518,76.784923,0.0122666357924572,15.43213806152346,6.46351013183596,1.0
685,Nagaland,Mokokchung,2021,August,Friday,8:52,Minor,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,26.34112,94.536102,122.11758268369977,27.0422302246094,22.652444458007835,0.6324555320336759
686,Uttarakhand,Haldwani,2021,September,Tuesday,20:38,Minor,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,,111,28,Female,Valid,Yes,Curve,29.231192,79.534407,50.97882300511358,27.491784667968773,20.77344665527346,0.7745966692414833
687,Chandigarh,Chandigarh,2022,May,Friday,21:29,Minor,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,,No,Bridge,30.721863,76.800373,0.0052005044040015,39.9600769042969,22.700708007812523,0.4472135954999579
688,Jammu and Kashmir,Srinagar,2021,January,Friday,23:27,Serious,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,,No,Bridge,34.087115,74.798242,0.0008523463179699,6.95752868652346,-1.8012298583984148,0.4472135954999579
689,Andhra Pradesh,Tirupati,2022,May,Monday,6:51,Fatal,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,,No,Straight Road,13.617088,79.397232,115.57259224269956,33.357339477539085,24.435693359375023,0.4472135954999579
690,Madhya Pradesh,Bhopal,2022,April,Monday,14:43,Serious,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,23.279999,77.409557,0.0180093600441466,38.90007934570315,25.212762451171898,0.6324555320336759
691,Chandigarh,Chandigarh,2018,June,Monday,2:57,Serious,3,Bus,5,5,Stormy,State Highway,Dry,Dark,,60,56,Female,Expired,No,Bridge,30.71104,76.787898,4.763003905679852,39.14397583007815,28.767510986328148,0.7745966692414833
692,Uttar Pradesh,Varanasi,2020,February,Wednesday,23:57,Fatal,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,25.341819,82.988725,0.0060081481159102,25.2626892089844,11.96576843261721,0.7745966692414833
693,West Bengal,Durgapur,2021,September,Monday,14:41,Fatal,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,23.532432,87.296159,243.92856694653983,26.639550781250023,24.48829040527346,0.6324555320336759
694,Chhattisgarh,Bhilai,2023,May,Monday,3:14,Serious,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,,Yes,Intersection,21.184622,81.389789,0.0128717250369447,41.29139099121096,24.916436767578148,0.6324555320336759
695,West Bengal,Siliguri,2021,January,Tuesday,4:32,Fatal,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,22.579507,88.366324,0.0013589857985607,24.266320800781276,12.88916931152346,0.4472135954999579
696,Delhi,Rohini,2021,January,Wednesday,1:38,Fatal,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,28.746964,77.090903,0.0008523463179699,19.24854431152346,5.929238891601585,0.8944271909999159
697,Gujarat,Ahmedabad,2019,June,Sunday,18:24,Serious,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,,66,47,Female,,No,Straight Road,23.000015,72.547782,8.836710080458943,32.9362731933594,27.14124450683596,0.7745966692414833
698,Goa,Margao,2022,January,Thursday,10:48,Serious,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,15.295303,73.983623,0.0069764818135809,29.15183410644533,17.28925476074221,0.6324555320336759
699,Goa,Vasco da Gama,2018,December,Monday,4:38,Minor,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,15.378357,73.837607,-9999.0,-9999.0,-9999.0,0.6324555320336759
700,Assam,Dibrugarh,2019,November,Wednesday,13:2,Serious,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,27.492883,94.89172,9.61187556367804,28.03293762207033,21.133950805664085,0.8944271909999159
701,Punjab,Amritsar,2022,May,Wednesday,9:3,Fatal,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,,Yes,Bridge,31.626345,74.864275,0.2693757406291297,44.2217956542969,23.972192382812523,0.6324555320336759
702,Odisha,Rourkela,2020,September,Tuesday,3:54,Minor,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,22.260929,84.870315,9.464025869760915,31.47483215332033,25.79926452636721,0.7745966692414833
703,Uttarakhand,Roorkee,2023,August,Friday,2:55,Fatal,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,29.834391,77.873743,34.550733864307404,31.606835937500023,24.207818603515648,0.4472135954999579
704,Madhya Pradesh,Jabalpur,2022,November,Thursday,14:12,Serious,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,,41,28,Female,Valid,Yes,Curve,23.157784,79.971489,0.0008523463179699,28.061135864257835,14.52820739746096,0.6324555320336759
705,Karnataka,Mysore,2023,June,Sunday,16:49,Minor,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,12.977275,77.576486,0.1863089995488565,30.7209411621094,20.997094726562523,0.6324555320336759
706,Telangana,Karimnagar,2019,July,Saturday,15:48,Serious,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,,109,68,Male,Valid,No,Bridge,18.448814,79.15141,1.2993436306665274,32.98885498046877,26.903604125976585,0.7745966692414833
707,Bihar,Patna,2022,May,Tuesday,1:45,Minor,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,25.589753,85.132098,0.0092387190875342,39.4307800292969,26.890161132812523,0.8944271909999159
708,Chhattisgarh,Bhilai,2022,July,Monday,16:40,Serious,2,Truck,4,2,Hazy,National Highway,Wet,Daylight,,94,68,Female,Valid,No,Curve,21.194316,81.385433,115.3454728507377,29.61939392089846,24.123681640625023,0.6324555320336759
709,Rajasthan,Jodhpur,2020,September,Tuesday,4:30,Serious,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,26.262667,73.008441,1.2979492543081506,34.237405395507835,26.52366027832033,0.4472135954999579
710,Goa,Panaji,2020,October,Saturday,3:32,Fatal,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,15.495828,73.838088,559.1370947659016,26.553552246093773,24.388208007812523,0.6324555320336759
711,Jharkhand,Bokaro,2018,October,Tuesday,16:43,Serious,1,Two-Wheeler,8,4,Clear,Urban Road,Damaged,Dawn,,39,58,Male,Valid,Yes,Intersection,23.649751,86.142133,0.3182530402838779,30.93122253417971,17.271813964843773,0.4472135954999579
712,Puducherry,Karaikal,2018,November,Friday,5:23,Fatal,5,Truck,9,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,106,47,Male,,Yes,Curve,10.921876,79.81312,-9999.0,-9999.0,-9999.0,1.0
713,Kerala,Thrissur,2023,June,Monday,18:51,Minor,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,10.511769,76.238345,33.33439656067938,30.42810974121096,24.811669921875023,1.0
714,Bihar,Gaya,2020,March,Friday,11:4,Serious,2,Auto-Rickshaw,3,2,Hazy,National Highway,Damaged,Daylight,,64,43,Male,Valid,Yes,Intersection,24.788721,84.986811,17.90591180321144,27.32721862792971,16.533898925781273,0.6324555320336759
715,Odisha,Bhubaneswar,2019,October,Tuesday,9:19,Serious,4,Auto-Rickshaw,7,4,Foggy,National Highway,Damaged,Daylight,,108,31,Female,Valid,No,Intersection,20.282228,85.819258,11.218504694681997,30.941949462890648,23.6630798339844,0.8944271909999159
716,Nagaland,Mokokchung,2018,December,Monday,8:53,Fatal,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,26.308644,94.533114,3.672653435103257,20.803018188476585,11.29145202636721,0.4472135954999579
717,Andhra Pradesh,Tirupati,2021,April,Thursday,20:35,Minor,5,Two-Wheeler,6,4,Clear,State Highway,Wet,Dusk,,115,48,Female,Valid,Yes,Intersection,13.632232,79.407374,34.478444617185744,32.189614868164085,23.416436767578148,1.0
718,Nagaland,Kohima,2023,March,Friday,2:21,Fatal,3,Car,2,4,Hazy,National Highway,Under Construction,Daylight,Signs,31,27,Male,,Yes,Straight Road,25.689201,94.096073,120.45746125824051,21.949395751953148,10.727319335937525,0.7745966692414833
719,Tamil Nadu,Coimbatore,2022,March,Wednesday,6:32,Serious,1,Auto-Rickshaw,2,3,Hazy,National Highway,Wet,Dusk,Signals,80,48,Female,,Yes,Straight Road,10.998003,76.940574,0.003334960013035,34.79390869140627,20.956872558593773,0.4472135954999579
720,Chhattisgarh,Korba,2018,March,Tuesday,6:7,Fatal,2,Auto-Rickshaw,10,0,Stormy,Village Road,Under Construction,Dawn,,96,28,Female,,No,Straight Road,22.367288,82.752883,2.1872318505415933,34.72071228027346,23.151666259765648,0.6324555320336759
721,Tripura,Dharmanagar,2019,March,Wednesday,7:27,Minor,2,Two-Wheeler,4,0,Rainy,Urban Road,Wet,Daylight,,71,20,Male,,Yes,Intersection,24.382699,92.167641,0.0514558018949173,33.4277282714844,19.430703735351585,0.6324555320336759
722,Maharashtra,Pune,2019,June,Friday,8:34,Serious,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,18.522915,73.845495,19.97664496298057,28.80710754394533,23.65101013183596,0.6324555320336759
723,Karnataka,Mangalore,2020,February,Monday,10:7,Serious,3,Bus,2,0,Foggy,National Highway,Wet,Dusk,,55,37,Female,Expired,Yes,Bridge,12.97673,77.59299,0.0060081481159102,30.598489379882835,16.053750610351585,0.7745966692414833
724,Andhra Pradesh,Vijayawada,2021,May,Thursday,20:27,Minor,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,16.496688,80.647573,49.03244938225271,36.176675415039085,27.30848083496096,0.7745966692414833
725,Bihar,Patna,2020,January,Wednesday,5:22,Minor,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,25.612068,85.156877,1.095146125408064,21.445489501953148,10.634729003906273,0.6324555320336759
726,Chandigarh,Chandigarh,2022,May,Thursday,5:22,Minor,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,30.710991,76.791881,0.0052005044040015,41.7549987792969,23.448754882812523,0.4472135954999579
727,Assam,Guwahati,2018,January,Saturday,19:20,Serious,3,Two-Wheeler,9,4,Hazy,Urban Road,Under Construction,Dusk,Signals,31,43,Female,,No,Intersection,26.136155,91.728307,6.790349258949391,21.654824829101585,14.659341430664083,0.7745966692414833
728,Uttarakhand,Haridwar,2021,June,Thursday,9:35,Minor,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,29.959564,78.139749,9.44107302456132,33.33907470703127,24.212121582031276,0.8944271909999159
729,Punjab,Ludhiana,2022,October,Sunday,10:4,Minor,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,30.896356,75.839435,0.0008593783036303,30.357232666015648,17.524072265625023,0.7745966692414833
730,Odisha,Cuttack,2020,July,Sunday,14:45,Serious,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,20.467931,85.881857,108.98642382072056,30.394158935546898,25.595269775390648,0.6324555320336759
731,Uttarakhand,Dehradun,2023,September,Tuesday,6:46,Fatal,4,Pedestrian,6,0,Rainy,Urban Road,Damaged,Daylight,Signs,105,45,Female,,Yes,Straight Road,30.299894,78.01682,217.52063333977745,27.755334472656276,21.61985168457033,0.8944271909999159
732,Rajasthan,Jaipur,2019,June,Friday,12:25,Minor,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,26.919878,75.786253,5.949231982185665,39.1728454589844,30.12122497558596,1.0
733,Gujarat,Surat,2022,March,Monday,15:39,Fatal,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,21.176003,72.838432,0.0017256346040994,38.25351867675784,23.1525817871094,0.7745966692414833
734,Karnataka,Mysore,2021,August,Thursday,16:45,Fatal,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Daylight,,96,27,Male,,No,Intersection,12.991254,77.587134,17.26268229379002,25.064080810546898,19.699319458007835,1.0
735,Sikkim,Mangan,2021,November,Monday,11:33,Fatal,5,Pedestrian,5,1,Rainy,Urban Road,Dry,Daylight,,103,51,Female,Valid,No,Intersection,27.522118,88.526727,162.48146481740378,7.48493347167971,4.20081481933596,1.0
736,Jharkhand,Ranchi,2019,March,Friday,17:16,Serious,2,Pedestrian,9,3,Stormy,Village Road,Under Construction,Daylight,,55,36,Female,Expired,No,Straight Road,23.343051,85.325854,144.71876830475594,29.821817016601585,17.362359619140648,0.6324555320336759
737,Mizoram,Champhai,2020,April,Friday,17:47,Fatal,5,Bus,8,3,Foggy,National Highway,Damaged,Dusk,,68,57,Female,Valid,No,Straight Road,23.465658,93.321661,5.05208969113724,30.34363708496096,16.68171081542971,1.0
738,Chhattisgarh,Korba,2018,September,Monday,13:50,Serious,3,Pedestrian,1,0,Foggy,National Highway,Damaged,Dark,Signals,66,33,Male,Valid,No,Curve,22.367118,82.734819,4.809099435796327,30.390557861328148,22.902444458007835,0.7745966692414833
739,Madhya Pradesh,Bhopal,2021,November,Monday,8:11,Fatal,2,Bus,7,1,Clear,Village Road,Wet,Dawn,Signs,70,69,Male,,No,Bridge,23.279787,77.393404,0.0038951628198446,26.461602783203148,14.60382995605471,0.6324555320336759
740,West Bengal,Kolkata,2021,December,Saturday,11:11,Serious,5,Two-Wheeler,3,3,Foggy,National Highway,Damaged,Daylight,Signals,102,53,Female,Valid,No,Bridge,22.549725,88.367146,0.0039130448641344,23.319680786132835,12.363854980468773,1.0
741,Himachal Pradesh,Shimla,2021,November,Wednesday,1:57,Minor,1,Two-Wheeler,1,3,Stormy,Urban Road,Damaged,Dark,,107,62,Female,Expired,Yes,Straight Road,31.108317,77.171357,1.3881236307611289,16.266839599609398,3.725747680664085,0.4472135954999579
742,Kerala,Kozhikode,2021,December,Monday,0:51,Fatal,1,Two-Wheeler,4,4,Hazy,State Highway,Under Construction,Daylight,,87,53,Female,,No,Intersection,11.276399,75.783251,3.240841999584632,29.126321411132835,23.49006042480471,0.4472135954999579
743,Bihar,Patna,2021,May,Wednesday,5:2,Fatal,2,Car,9,2,Foggy,Urban Road,Under Construction,Dawn,Signs,90,39,Female,,No,Intersection,25.573151,85.132741,0.6444432166290426,37.63019714355471,24.40223083496096,0.6324555320336759
744,Chandigarh,Chandigarh,2021,December,Sunday,15:44,Serious,2,Two-Wheeler,1,0,Foggy,State Highway,Dry,Dawn,Signs,58,35,Male,,No,Curve,30.729183,76.773939,0.0661998986544176,19.26380310058596,6.03302917480471,0.6324555320336759
745,Tripura,Agartala,2020,March,Thursday,13:11,Serious,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,,95,47,Female,,No,Curve,23.843705,91.305769,2.9321223497049687,32.60468444824221,20.123452758789085,1.0
746,Kerala,Thiruvananthapuram,2020,March,Wednesday,5:10,Fatal,5,Car,5,5,Clear,Village Road,Wet,Dusk,,58,35,Female,,Yes,Curve,8.546413,76.95248,2.0977206527845738,33.37226257324221,24.147180175781276,1.0
747,Madhya Pradesh,Indore,2023,April,Monday,8:20,Serious,2,Cycle,10,1,Foggy,Urban Road,Under Construction,Dusk,,98,44,Female,,No,Bridge,22.713249,75.846136,0.0093975623940423,36.93068847656252,23.563394165039085,0.6324555320336759
748,Delhi,New Delhi,2022,April,Monday,16:22,Fatal,3,Cycle,2,2,Stormy,National Highway,Dry,Dark,Signals,80,20,Male,Valid,Yes,Curve,28.614341,77.224792,3.145345862119342,37.87468872070315,19.922708129882835,0.7745966692414833
749,Himachal Pradesh,Dharamshala,2021,March,Tuesday,20:13,Minor,1,Truck,9,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,96,28,Male,Valid,Yes,Straight Road,32.194537,76.305051,1.616332210744531,16.29499206542971,4.86231384277346,0.4472135954999579
750,Nagaland,Dimapur,2023,December,Monday,11:7,Fatal,4,Two-Wheeler,4,4,Rainy,State Highway,Wet,Dark,Signals,39,27,Male,Expired,Yes,Curve,25.904876,93.738544,2.809052168061044,21.52271423339846,11.32074890136721,0.8944271909999159
751,West Bengal,Siliguri,2018,April,Tuesday,4:23,Minor,4,Pedestrian,0,5,Foggy,National Highway,Damaged,Dark,,51,54,Female,Valid,Yes,Bridge,22.567703,88.37849,1.9401699292593837,36.48005065917971,25.49250183105471,0.8944271909999159
752,Tripura,Agartala,2020,January,Wednesday,11:42,Serious,3,Bus,2,5,Rainy,Village Road,Dry,Dusk,Signals,46,43,Male,Expired,No,Straight Road,23.808611,91.26336,0.0214643760045873,24.0183044433594,11.525354003906273,0.7745966692414833
753,Mizoram,Lunglei,2019,October,Tuesday,0:6,Fatal,1,Truck,3,0,Clear,National Highway,Dry,Dusk,Signs,75,56,Male,Valid,No,Intersection,22.872863,92.752707,143.47197086868846,26.788613891601585,19.44773254394533,0.4472135954999579
754,Meghalaya,Tura,2020,January,Wednesday,4:39,Fatal,4,Two-Wheeler,8,0,Clear,Urban Road,Dry,Dusk,,68,59,Male,Expired,No,Bridge,25.512733,90.209825,0.4019618017991888,21.0319763183594,11.68042907714846,0.8944271909999159
755,Mizoram,Champhai,2018,February,Thursday,1:52,Minor,5,Car,9,5,Rainy,State Highway,Damaged,Dawn,Signs,107,48,Male,,No,Straight Road,23.4596,93.332018,0.1178277330495802,20.68103942871096,6.363885498046898,1.0
756,Mizoram,Champhai,2022,September,Tuesday,1:27,Serious,5,Two-Wheeler,1,0,Stormy,Village Road,Under Construction,Daylight,Signs,80,57,Male,Valid,Yes,Curve,23.447531,93.306713,38.2037369534487,23.808557128906276,18.430322265625023,1.0
757,Sikkim,Gangtok,2022,April,Saturday,22:16,Minor,4,Bus,9,4,Foggy,Urban Road,Under Construction,Daylight,,115,22,Male,Expired,No,Intersection,27.331136,88.616512,38.55531048318639,12.32117614746096,5.375833129882835,0.8944271909999159
758,Punjab,Amritsar,2021,March,Sunday,17:57,Serious,2,Truck,2,0,Hazy,State Highway,Damaged,Dusk,,44,54,Male,,No,Curve,31.633509,74.851705,0.0017206148754667,28.319543457031276,13.965188598632835,0.6324555320336759
759,Jharkhand,Ranchi,2018,February,Saturday,6:48,Minor,1,Truck,5,0,Hazy,National Highway,Wet,Dusk,Signals,67,25,Male,Valid,Yes,Straight Road,23.352368,85.297983,0.1124037103750197,24.66260681152346,11.229119873046898,0.4472135954999579
760,Chandigarh,Chandigarh,2019,May,Tuesday,21:59,Serious,1,Truck,5,5,Clear,Village Road,Under Construction,Daylight,Signals,97,55,Female,Valid,Yes,Curve,30.711992,76.758706,1.855601370298388,35.18825683593752,20.537072753906276,0.4472135954999579
761,Puducherry,Karaikal,2019,December,Sunday,16:18,Serious,5,Bus,6,5,Hazy,Urban Road,Dry,Dawn,Signs,79,65,Female,,Yes,Curve,10.929186,79.826991,-9999.0,-9999.0,-9999.0,1.0
762,West Bengal,Kolkata,2020,October,Thursday,3:43,Minor,3,Car,10,4,Hazy,State Highway,Dry,Dark,,63,27,Female,Expired,No,Straight Road,22.570591,88.369087,13.189621269702911,31.832925415039085,25.148339843750023,0.7745966692414833
